Country;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;3159.40;3265.89;3538.76;4116.44;4629.47;4872.71;5136.12;5410.24;5927.90;6474.89;7254.28;8217.12;8495.96;8896.33;9203.95;9642.24;9713.63;10033.32;10846.03;11592.41;11745.72;11898.91;12340.47;12787.63;13386.94;13933.76;14591.73;15032.15;15392.40;16179.77;17370.63;18069.52;18212.87;18977.88;20402.18;20949.40;22140.77;23648.91;25051.63;25193.37;26621.33;28216.34;28163.03;29721.24;30365.34;30347.41;30949.31;30967.92;31829.36;32920.36;34740.57;37074.26;39871.84;
Austria;;;;;;;;;;;;;;;;;;;;;;;;;;15803.32;16099.66;16177.38;16885.05;17646.57;18643.05;18565.85;19154.26;20007.10;20754.68;22117.35;23279.87;24299.34;25155.07;25375.42;25760.19;26540.33;27303.94;27550.38;28084.60;28008.04;29426.27;30053.94;31267.24;32815.51;33131.94;35966.26;40525.21;
Belgium;;;;;;;;;;;;;;;;;;;;;;;;;;14339.56;14435.68;14693.70;14891.60;15454.78;16849.67;17625.33;18041.29;17939.03;18394.19;18984.37;19929.91;20753.02;21936.25;22133.37;22430.25;23157.18;23614.11;24148.15;24649.04;24722.78;25648.53;26449.80;27522.52;29485.15;30742.95;32822.74;35612.01;
Canada;;;;;;;;;;;;7812.05;8149.28;8300.74;8818.92;9499.92;9737.62;10172.17;10928.73;11729.20;12099.63;12228.35;12627.44;12951.93;13195.76;13489.93;13738.09;14252.14;14751.01;15372.67;16121.95;16878.08;17211.20;17611.15;18486.95;19207.85;19936.69;21039.38;21552.71;21853.42;22751.85;23529.72;24199.08;24663.18;25053.57;25393.24;26044.22;27067.37;27806.28;28116.19;30704.01;32442.40;34305.12;35438.54
Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5739.72;6138.65;6597.12;8359.16;8583.61;9288.60;9236.45;10164.36;11534.74;12152.14;12986.53;13132.58;12687.47;13450.06;13423.10;14117.26;14806.77;16192.21;17827.73;16552.01;
Costa Rica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9726.60;9829.74;10295.52;10728.91;11722.10;12989.11;13532.37;14098.73;13368.01;14645.01;;
Czechia;;;;;;;;;;;;;;;;;;;;;;;;;;6836.78;7482.96;7843.15;7808.89;8146.32;8596.94;9383.23;9505.70;10074.42;10554.97;11172.81;11827.63;12655.88;13837.65;14081.14;14591.50;14946.74;15072.09;15534.72;16454.86;16638.71;17658.97;19053.94;20323.96;22068.71;22423.48;25450.60;28024.33;28599.08
Denmark;;;;;;;;;;;;;;;;;;;;;;;;;;11150.17;11305.89;11529.22;12097.37;11897.18;12407.45;12758.07;13391.10;13685.28;14480.34;14831.16;15855.72;16313.81;16804.06;17479.05;18431.30;19158.42;19285.58;19711.37;19720.68;20514.45;21641.57;22802.79;24185.76;25259.45;25859.73;27353.27;29096.94;31241.03
Estonia;;;;;;;;;;;;;;;;;;;;;;;;;;3788.77;3901.62;4267.11;4472.64;4589.87;5050.00;5411.84;5776.07;6402.82;6969.86;7832.28;8963.33;9952.48;11267.10;10675.86;10835.38;11728.33;11937.68;13016.78;13752.94;14472.26;15509.57;16432.26;17873.05;19307.04;19304.82;20509.80;21407.23;
Finland;;;;;;2720.88;2828.63;2962.67;3283.37;3805.01;4405.18;4813.22;5314.38;5772.19;6071.23;6467.28;6785.03;7352.44;7814.54;8637.76;9187.00;9616.73;9600.65;9261.51;9117.05;10005.33;10143.53;10876.63;11386.77;12199.42;12897.69;13165.02;13773.88;14325.13;15456.01;15747.41;16686.32;18200.89;19534.22;20084.84;20944.41;21788.36;21943.28;22587.98;22830.94;23107.82;24210.91;25045.23;26141.52;27808.93;28449.48;29998.13;32170.74;33853.61
France;2302.71;2502.70;2698.59;2988.17;3385.08;3764.46;4049.08;4414.32;4979.83;5439.26;6022.61;6626.42;7090.21;7353.45;7535.26;7838.42;8214.10;8579.72;9170.56;9836.23;10629.71;11085.69;11607.78;11960.18;12246.72;12770.38;13177.20;13705.25;14220.98;14762.98;16058.62;17216.51;17942.02;17631.65;18177.15;18926.15;19835.57;20767.66;21358.63;21701.48;22478.78;23234.78;23283.73;23783.52;24058.74;23898.41;24924.79;25436.21;26257.35;28146.25;28877.39;31025.08;34093.93;36612.22
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;15865.26;16347.37;16604.17;16884.21;17613.93;17930.67;18860.05;18954.20;19457.67;20277.38;20653.44;21423.12;22069.55;23033.99;23275.84;24232.53;25737.25;26312.92;26803.53;27633.44;27701.51;29328.06;30499.82;32422.55;33937.96;34940.05;36415.00;39536.22;41219.06
Greece;;;;;;;;;;;;;;;;;;;;;;;;;;11139.80;11330.55;11486.28;11998.23;12250.82;12636.61;13653.65;14813.51;15780.23;16624.46;16634.65;18133.10;18725.78;20002.65;20236.76;18062.75;16534.89;15030.74;14982.45;15823.95;15872.09;16343.26;16559.30;17048.79;18649.91;17693.27;19649.85;21849.27;
Hungary;;;;;;;;;;;;;;;;;;;;;;;;;;5725.00;5682.23;5824.86;6099.40;6339.47;6767.05;7409.05;8008.95;8664.04;9272.84;9872.86;10237.21;10063.69;10510.04;10658.41;11072.97;12182.43;12165.83;12845.03;13210.44;13408.85;14314.89;15070.57;16641.63;18161.96;17887.89;19782.09;22654.90;
